City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1083,Riachao Das Neves,BR,-11.75,-44.91,97.39,22,4,7.05,clear sky
1084,Kasempa,ZM,-13.46,25.83,78.03,53,86,4.97,overcast clouds
1085,Grand-Bourg,GP,15.88,-61.31,82.4,88,40,2.24,scattered clouds
1086,Berezovyy,RU,51.67,135.7,27.18,82,1,7.72,clear sky
1087,Shimoda,JP,34.67,138.95,61.0,79,97,9.28,overcast clouds
1088,Kommunisticheskiy,RU,61.68,64.48,33.3,93,100,12.01,overcast clouds
1089,Miles City,US,46.41,-105.84,46.4,65,90,13.87,overcast clouds
1090,Abalak,RU,58.13,68.59,50.02,85,100,11.83,overcast clouds
1091,Bodden Town,KY,19.28,-81.25,87.8,74,20,9.17,few clouds
1092,Aurillac,FR,44.92,2.45,46.99,81,97,5.82,light rain
1093,Perth,AU,-31.93,115.83,63.0,63,1,14.99,clear sky
1094,Akdepe,TM,42.06,59.38,59.0,38,0,4.7,clear sky
1095,Belogorsk,RU,50.92,128.46,29.3,84,95,4.03,overcast clouds
1096,Uga,NG,5.94,7.08,82.35,75,45,5.39,light rain
1097,Krasnyy Chikoy,RU,50.36,108.75,27.93,90,62,3.47,broken clouds
1098,Nalundan,PH,9.75,123.07,78.8,83,75,4.7,light rain
1099,Jaciara,BR,-15.97,-54.97,101.53,25,19,5.21,few clouds
1100,Madera,US,37.17,-119.83,66.99,76,1,1.7,clear sky
1101,Brigantine,US,39.41,-74.36,63.0,51,1,11.41,clear sky
1102,Yatou,CN,37.15,122.38,50.2,49,32,3.71,scattered clouds
1103,Kamenka,RU,51.32,42.77,57.99,54,52,10.0,broken clouds
1104,Tual,ID,-5.67,132.75,81.59,82,54,13.4,broken clouds
1105,Porto Santo,PT,33.07,-16.34,73.4,64,20,9.17,few clouds
1106,Cotonou,BJ,6.37,2.42,82.4,83,40,13.87,scattered clouds
1107,Homer,US,59.64,-151.55,41.0,78,90,1.88,overcast clouds
1108,Pereleshinskiy,RU,51.71,40.2,59.0,67,0,4.47,clear sky
1109,Pangkalanbuun,ID,-2.68,111.62,75.34,96,100,2.66,heavy intensity rain
1110,Kargil,IN,34.57,76.1,43.83,56,0,5.95,clear sky
