City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1268,Xai-Xai,MZ,74.91,clear sky,-25.05,33.64,Platinum Hotel
1270,Trinidad,BO,84.2,smoke,-14.83,-64.9,Hotel Piesta
1271,Salinopolis,BR,83.46,overcast clouds,-0.61,-47.36,Hotel Salinópolis
1276,Kibaya,TZ,75.24,overcast clouds,-5.3,36.57,Lusaka Hotel
1279,Weston,US,82.99,scattered clouds,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
1280,Sigli,ID,81.82,overcast clouds,5.38,95.96,Hotel Riza
1285,Acahay,PY,76.46,moderate rain,-25.92,-57.15,Club 30 de abril - Acahay
1290,Caraballeda,VE,86.0,few clouds,10.61,-66.85,Hotel 15 Letras
1291,Lagunillas,VE,84.11,overcast clouds,10.13,-71.26,Madre de Kirvez Castillo
1293,Ijui,BR,74.37,broken clouds,-28.39,-53.91,Hotel Vera Cruz
1295,Mackay,AU,71.6,scattered clouds,-21.15,149.2,International Lodge Motel
1296,Guanica,PR,87.01,clear sky,17.97,-66.91,Copamarina Beach Resort & Spa
1297,San Jose,US,71.6,clear sky,37.34,-121.89,The Westin San Jose
1298,Lakki Marwat,PK,82.99,clear sky,32.61,70.91,Agriculture office lakki Marwat
1300,Karangampel,ID,84.58,light rain,-6.46,108.45,ARIE SAFARI
1303,Las Lomas,PA,75.2,few clouds,8.43,-82.4,Hotel Castilla
1306,Ambunti,PG,73.63,moderate rain,-4.24,142.84,Ambunti Lodge
1309,Yambio,SS,79.05,moderate rain,4.57,28.4,Kabash Inn
1311,Nampula,MZ,86.0,few clouds,-15.12,39.27,Tacab Residencial
1314,Calabozo,VE,83.23,clear sky,8.92,-67.43,Hotel Giardini
1315,Soyo,AO,80.6,broken clouds,-6.13,12.37,Hotel Mpampa
1316,Gallipoli,TR,75.2,few clouds,40.41,26.67,Oya Hotel
1317,Mpraeso,GH,82.6,light rain,6.59,-0.73,JAYS Lodge
1319,Anantapur,IN,77.4,light rain,14.68,77.6,Hotal
1320,Kinkala,CG,83.79,light rain,-4.36,14.76,Hotel la Vernande
1322,Yurimaguas,PE,82.42,moderate rain,-5.9,-76.08,Rio Huallaga Hotel & Business Center
1325,Nakhon Phanom,TH,82.4,light rain,17.33,104.42,ป่ายางรีสอร์ท
1327,Jalingo,NG,87.66,broken clouds,8.88,11.37,Debright Motel
1328,San Ramon De La Nueva Oran,AR,75.99,overcast clouds,-23.13,-64.33,Hotel Residencial Centro
1331,Eyl,SO,87.33,broken clouds,7.98,49.82,Amiin Hotel
1332,Axim,GH,79.7,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
1335,Arkhipo-Osipovka,RU,70.32,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
1336,Winneba,GH,84.2,scattered clouds,5.35,-0.62,Lagoon Lodge
1339,Makakilo City,US,75.2,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
1345,Guatire,VE,86.0,few clouds,10.48,-66.54,Parque Residencial Canaima I
1348,Bataipora,BR,81.5,moderate rain,-22.3,-53.27,Hotel Vale do Ivinhema
1350,Boa Vista,BR,86.0,overcast clouds,2.82,-60.67,Aipana Plaza Hotel
1352,Oussouye,SN,89.6,broken clouds,12.48,-16.55,Auberge du Routard
1353,Hirara,JP,78.76,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
1356,Padang,ID,79.86,light rain,-0.95,100.35,Mercure Padang
1358,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
1365,Mitsamiouli,KM,78.8,light rain,-11.38,43.28,Foyer ADM
1366,Ewa Beach,US,75.2,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
1367,Diamantino,BR,80.02,overcast clouds,-14.41,-56.45,Hotel Delta
1370,Nanakuli,US,75.2,scattered clouds,21.39,-158.15,Camp Pālehua
1372,Bondoukou,CI,77.52,overcast clouds,8.03,-2.8,Prestige Hotel
1374,Polis,CY,78.8,scattered clouds,35.04,32.43,Marion
1376,Tomatlan,MX,76.48,few clouds,19.93,-105.25,Norma franco
1377,Angoche,MZ,78.12,few clouds,-16.23,39.91,Guest House HESADA
1382,Saint-Joseph,RE,77.0,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
1387,Qazvin,IR,75.2,few clouds,36.28,50.0,Alborz Hotel
